scholarship_id,scholarship_name,provider,category,education_level,min_marks_required,income_limit,scholarship_amount,state,deadline,application_mode
54,Tata Scholars Program 54,Tata Capital,Need-Based,Postgraduate,52,200000,25000,Maharashtra,2026-12-03,Online
55,HDFC Scholars Program 55,HDFC Bank,Merit,School,54,500000,25000,Madhya Pradesh,2026-06-17,Online
56,Ministry Scholars Program 56,Ministry of Education,Merit,Postgraduate,52,250000,200000,Madhya Pradesh,2026-07-17,Online/Offline
57,LIC Scholars Program 57,LIC India,Merit + Need,Undergraduate,73,250000,150000,Uttar Pradesh,2026-12-16,Online
58,ONGC Scholars Program 58,ONGC Foundation,Need-Based,Undergraduate,73,300000,10000,Uttar Pradesh,2026-11-29,Online
59,ONGC Scholars Program 59,ONGC Foundation,Need-Based,Undergraduate,57,200000,50000,Delhi,2026-08-05,Online/Offline
60,LIC Scholars Program 60,LIC India,Merit + Need,Postgraduate,59,300000,150000,Tamil Nadu,2026-06-30,Online
61,Aditya Scholars Program 61,Aditya Birla Group,Merit + Need,PhD,59,200000,50000,Madhya Pradesh,2026-08-25,Online
62,Reliance Scholars Program 62,Reliance Foundation,Category-Based,Undergraduate,74,500000,200000,Karnataka,2026-08-27,Online
63,Sitaram Scholars Program 63,Sitaram Jindal Foundation,Need-Based,School,89,250000,100000,Rajasthan,2026-05-08,Online
64,Reliance Scholars Program 64,Reliance Foundation,Merit,PhD,61,200000,10000,Tamil Nadu,2026-09-18,Online
65,Reliance Scholars Program 65,Reliance Foundation,Merit + Need,Postgraduate,76,200000,75000,Karnataka,2026-08-25,Online
66,Reliance Scholars Program 66,Reliance Foundation,Need-Based,Undergraduate,58,250000,150000,Tamil Nadu,2026-09-09,Online
67,Infosys Scholars Program 67,Infosys Foundation,Merit + Need,Undergraduate,56,250000,150000,Madhya Pradesh,2026-09-24,Online
68,Sitaram Scholars Program 68,Sitaram Jindal Foundation,Merit + Need,School,82,800000,50000,Delhi,2026-09-24,Online
69,ONGC Scholars Program 69,ONGC Foundation,Merit + Need,Undergraduate,81,800000,10000,Gujarat,2026-11-23,Online
70,Sitaram Scholars Program 70,Sitaram Jindal Foundation,Need-Based,School,59,800000,100000,Tamil Nadu,2026-10-08,Online/Offline
71,Sitaram Scholars Program 71,Sitaram Jindal Foundation,Merit,Undergraduate,71,800000,200000,Gujarat,2026-08-05,Online
72,Tata Scholars Program 72,Tata Capital,Merit + Need,Undergraduate,71,300000,75000,Tamil Nadu,2026-06-14,Online
73,Ministry Scholars Program 73,Ministry of Education,Category-Based,Undergraduate,61,250000,100000,Maharashtra,2026-06-02,Online/Offline
74,ONGC Scholars Program 74,ONGC Foundation,Need-Based,PhD,75,800000,50000,Delhi,2026-06-13,Online/Offline
75,Sitaram Scholars Program 75,Sitaram Jindal Foundation,Category-Based,Undergraduate,57,800000,100000,Madhya Pradesh,2026-11-08,Online/Offline
76,Bharti Scholars Program 76,Bharti Foundation,Merit,Undergraduate,77,500000,75000,Madhya Pradesh,2026-10-05,Online
77,ONGC Scholars Program 77,ONGC Foundation,Category-Based,Undergraduate,90,200000,25000,Gujarat,2026-06-08,Online/Offline
78,Reliance Scholars Program 78,Reliance Foundation,Merit,Postgraduate,58,800000,150000,Maharashtra,2026-10-12,Online
79,Aditya Scholars Program 79,Aditya Birla Group,Merit,Undergraduate,70,300000,200000,Madhya Pradesh,2026-12-03,Online/Offline
80,ONGC Scholars Program 80,ONGC Foundation,Merit,Postgraduate,61,300000,200000,Gujarat,2026-05-04,Online
81,Reliance Scholars Program 81,Reliance Foundation,Need-Based,School,90,500000,200000,Tamil Nadu,2026-06-20,Online
82,Aditya Scholars Program 82,Aditya Birla Group,Merit + Need,Postgraduate,76,200000,150000,Delhi,2026-06-20,Online
83,Bharti Scholars Program 83,Bharti Foundation,Merit,PhD,74,200000,100000,Uttar Pradesh,2026-09-03,Online
84,Sitaram Scholars Program 84,Sitaram Jindal Foundation,Merit + Need,Undergraduate,51,300000,200000,Tamil Nadu,2026-06-11,Online/Offline
85,Sitaram Scholars Program 85,Sitaram Jindal Foundation,Merit,School,80,300000,10000,Madhya Pradesh,2026-11-06,Online
86,LIC Scholars Program 86,LIC India,Merit + Need,PhD,86,200000,50000,Tamil Nadu,2026-07-30,Online
87,Tata Scholars Program 87,Tata Capital,Merit + Need,Postgraduate,64,500000,10000,Rajasthan,2026-06-02,Online/Offline
88,Aditya Scholars Program 88,Aditya Birla Group,Need-Based,Undergraduate,72,500000,200000,Maharashtra,2026-09-25,Online/Offline
89,Infosys Scholars Program 89,Infosys Foundation,Category-Based,PhD,61,300000,10000,Uttar Pradesh,2026-06-04,Online/Offline
90,Sitaram Scholars Program 90,Sitaram Jindal Foundation,Merit + Need,Postgraduate,70,200000,150000,Karnataka,2026-05-29,Online
91,Bharti Scholars Program 91,Bharti Foundation,Merit,School,75,800000,200000,Uttar Pradesh,2026-05-22,Online
92,Tata Scholars Program 92,Tata Capital,Category-Based,PhD,53,250000,25000,Rajasthan,2026-05-29,Online
93,ONGC Scholars Program 93,ONGC Foundation,Merit + Need,Postgraduate,85,800000,10000,Delhi,2026-07-07,Online
94,ONGC Scholars Program 94,ONGC Foundation,Category-Based,Undergraduate,86,800000,25000,Madhya Pradesh,2026-08-07,Online
95,Reliance Scholars Program 95,Reliance Foundation,Category-Based,Undergraduate,54,800000,10000,Tamil Nadu,2026-08-04,Online/Offline
96,Ministry Scholars Program 96,Ministry of Education,Need-Based,PhD,81,800000,50000,Uttar Pradesh,2026-11-08,Online/Offline
97,HDFC Scholars Program 97,HDFC Bank,Need-Based,Postgraduate,63,250000,200000,Tamil Nadu,2026-12-19,Online/Offline
98,LIC Scholars Program 98,LIC India,Need-Based,PhD,84,500000,50000,Delhi,2026-10-08,Online
99,HDFC Scholars Program 99,HDFC Bank,Merit,Postgraduate,66,800000,200000,Tamil Nadu,2026-07-09,Online/Offline
100,Reliance Scholars Program 100,Reliance Foundation,Merit + Need,PhD,68,500000,100000,Uttar Pradesh,2026-10-05,Online
101,HDFC Scholars Program 101,HDFC Bank,Merit,PhD,76,500000,200000,Uttar Pradesh,2026-08-02,Online
102,Infosys Scholars Program 102,Infosys Foundation,Merit,Postgraduate,82,500000,25000,Karnataka,2026-11-16,Online/Offline
103,Reliance Scholars Program 103,Reliance Foundation,Merit + Need,Postgraduate,67,500000,50000,Maharashtra,2026-07-24,Online
104,ONGC Scholars Program 104,ONGC Foundation,Merit + Need,School,55,250000,50000,Delhi,2026-08-19,Online
105,Ministry Scholars Program 105,Ministry of Education,Merit + Need,Undergraduate,64,300000,25000,Delhi,2026-08-02,Online/Offline
106,Tata Scholars Program 106,Tata Capital,Category-Based,Undergraduate,84,500000,200000,Gujarat,2026-12-31,Online/Offline
107,Tata Scholars Program 107,Tata Capital,Category-Based,Undergraduate,63,500000,150000,Karnataka,2026-12-31,Online/Offline
108,ONGC Scholars Program 108,ONGC Foundation,Need-Based,PhD,79,500000,200000,Uttar Pradesh,2026-09-28,Online
109,Sitaram Scholars Program 109,Sitaram Jindal Foundation,Merit + Need,Postgraduate,80,300000,25000,Delhi,2026-12-30,Online/Offline
110,Infosys Scholars Program 110,Infosys Foundation,Need-Based,Undergraduate,70,500000,200000,Maharashtra,2026-10-19,Online
111,Ministry Scholars Program 111,Ministry of Education,Category-Based,School,77,300000,75000,Tamil Nadu,2026-08-11,Online/Offline
112,Reliance Scholars Program 112,Reliance Foundation,Merit + Need,Postgraduate,81,800000,100000,Gujarat,2026-07-27,Online
113,Tata Scholars Program 113,Tata Capital,Merit,Postgraduate,89,300000,75000,Uttar Pradesh,2026-12-25,Online
114,LIC Scholars Program 114,LIC India,Merit + Need,School,79,300000,100000,Uttar Pradesh,2026-05-12,Online
115,Infosys Scholars Program 115,Infosys Foundation,Need-Based,Undergraduate,79,200000,150000,Rajasthan,2026-08-11,Online
116,Aditya Scholars Program 116,Aditya Birla Group,Merit + Need,School,62,300000,25000,Gujarat,2026-05-12,Online
117,Tata Scholars Program 117,Tata Capital,Merit,Postgraduate,56,300000,10000,Rajasthan,2026-06-11,Online
118,HDFC Scholars Program 118,HDFC Bank,Merit,Postgraduate,52,250000,75000,Karnataka,2026-11-11,Online
119,Reliance Scholars Program 119,Reliance Foundation,Category-Based,Undergraduate,80,500000,150000,Rajasthan,2026-06-14,Online
120,ONGC Scholars Program 120,ONGC Foundation,Merit + Need,Postgraduate,67,500000,150000,Madhya Pradesh,2026-07-19,Online/Offline
121,Aditya Scholars Program 121,Aditya Birla Group,Merit,PhD,76,200000,25000,Rajasthan,2026-11-20,Online
122,ONGC Scholars Program 122,ONGC Foundation,Merit + Need,School,75,800000,200000,Gujarat,2026-12-01,Online
123,Tata Scholars Program 123,Tata Capital,Need-Based,PhD,64,300000,25000,Rajasthan,2026-07-29,Online
124,Sitaram Scholars Program 124,Sitaram Jindal Foundation,Merit + Need,School,82,300000,150000,Karnataka,2026-12-06,Online
125,Ministry Scholars Program 125,Ministry of Education,Merit,School,81,250000,10000,Rajasthan,2026-05-17,Online/Offline
126,Aditya Scholars Program 126,Aditya Birla Group,Merit,PhD,83,300000,100000,Delhi,2026-12-23,Online/Offline
127,Aditya Scholars Program 127,Aditya Birla Group,Category-Based,Undergraduate,69,500000,50000,Karnataka,2026-10-02,Online/Offline
128,Sitaram Scholars Program 128,Sitaram Jindal Foundation,Category-Based,School,76,500000,200000,Rajasthan,2026-06-24,Online/Offline
129,Infosys Scholars Program 129,Infosys Foundation,Merit,Postgraduate,69,250000,200000,Madhya Pradesh,2026-10-30,Online/Offline
130,LIC Scholars Program 130,LIC India,Category-Based,PhD,69,250000,75000,Gujarat,2026-08-16,Online/Offline
131,HDFC Scholars Program 131,HDFC Bank,Category-Based,PhD,86,250000,10000,Delhi,2026-08-03,Online
132,HDFC Scholars Program 132,HDFC Bank,Merit,Undergraduate,77,300000,150000,Uttar Pradesh,2026-05-12,Online/Offline
133,LIC Scholars Program 133,LIC India,Category-Based,Postgraduate,51,500000,10000,Karnataka,2026-07-09,Online
134,ONGC Scholars Program 134,ONGC Foundation,Category-Based,School,85,800000,25000,Uttar Pradesh,2026-09-12,Online/Offline
135,ONGC Scholars Program 135,ONGC Foundation,Merit,Undergraduate,85,250000,150000,Delhi,2026-08-31,Online
136,LIC Scholars Program 136,LIC India,Need-Based,PhD,60,200000,50000,Karnataka,2026-08-23,Online
137,Sitaram Scholars Program 137,Sitaram Jindal Foundation,Category-Based,Undergraduate,78,200000,200000,Tamil Nadu,2026-09-07,Online/Offline
138,Reliance Scholars Program 138,Reliance Foundation,Category-Based,PhD,86,200000,75000,Madhya Pradesh,2026-05-31,Online
139,Ministry Scholars Program 139,Ministry of Education,Category-Based,Undergraduate,66,300000,50000,Gujarat,2026-10-13,Online/Offline
140,Ministry Scholars Program 140,Ministry of Education,Merit + Need,Postgraduate,80,800000,200000,Delhi,2026-06-08,Online
141,Bharti Scholars Program 141,Bharti Foundation,Merit,School,62,300000,50000,Delhi,2026-07-11,Online/Offline
142,Ministry Scholars Program 142,Ministry of Education,Need-Based,School,54,500000,150000,Rajasthan,2026-07-14,Online/Offline
143,Infosys Scholars Program 143,Infosys Foundation,Need-Based,School,80,800000,25000,Delhi,2026-10-18,Online
144,ONGC Scholars Program 144,ONGC Foundation,Merit + Need,Postgraduate,88,300000,150000,Madhya Pradesh,2026-12-13,Online/Offline
145,Reliance Scholars Program 145,Reliance Foundation,Merit,Undergraduate,58,300000,150000,Madhya Pradesh,2026-08-20,Online/Offline
146,Aditya Scholars Program 146,Aditya Birla Group,Need-Based,PhD,61,200000,10000,Gujarat,2026-07-31,Online/Offline
147,Sitaram Scholars Program 147,Sitaram Jindal Foundation,Need-Based,Postgraduate,78,250000,10000,Tamil Nadu,2026-06-27,Online
148,LIC Scholars Program 148,LIC India,Merit + Need,Postgraduate,84,200000,100000,Delhi,2026-11-23,Online
149,Reliance Scholars Program 149,Reliance Foundation,Merit,Postgraduate,82,300000,50000,Gujarat,2026-12-20,Online
150,Bharti Scholars Program 150,Bharti Foundation,Need-Based,School,62,500000,10000,Tamil Nadu,2026-11-23,Online
151,ONGC Scholars Program 151,ONGC Foundation,Merit,Postgraduate,80,800000,10000,Madhya Pradesh,2026-10-05,Online/Offline
152,HDFC Scholars Program 152,HDFC Bank,Need-Based,Postgraduate,86,200000,100000,Madhya Pradesh,2026-10-15,Online
153,LIC Scholars Program 153,LIC India,Category-Based,PhD,58,300000,150000,Delhi,2026-07-09,Online
154,Reliance Scholars Program 154,Reliance Foundation,Merit,Postgraduate,63,500000,150000,Maharashtra,2026-08-02,Online/Offline
155,Reliance Scholars Program 155,Reliance Foundation,Merit + Need,Postgraduate,70,200000,100000,Maharashtra,2026-06-23,Online
156,HDFC Scholars Program 156,HDFC Bank,Need-Based,PhD,86,500000,75000,Delhi,2026-12-20,Online
157,Aditya Scholars Program 157,Aditya Birla Group,Merit,PhD,55,300000,10000,Delhi,2026-10-06,Online/Offline
158,Ministry Scholars Program 158,Ministry of Education,Merit,PhD,66,250000,150000,Gujarat,2026-07-06,Online
159,Sitaram Scholars Program 159,Sitaram Jindal Foundation,Category-Based,Postgraduate,70,500000,50000,Delhi,2026-11-10,Online
160,Aditya Scholars Program 160,Aditya Birla Group,Merit + Need,School,52,500000,25000,Karnataka,2026-08-06,Online
161,ONGC Scholars Program 161,ONGC Foundation,Category-Based,Undergraduate,85,250000,50000,Rajasthan,2026-12-17,Online/Offline
162,Infosys Scholars Program 162,Infosys Foundation,Merit + Need,Undergraduate,56,200000,25000,Madhya Pradesh,2026-07-13,Online
163,Bharti Scholars Program 163,Bharti Foundation,Merit + Need,Undergraduate,72,800000,25000,Uttar Pradesh,2026-12-09,Online/Offline
164,Aditya Scholars Program 164,Aditya Birla Group,Need-Based,Undergraduate,86,800000,100000,Gujarat,2026-11-17,Online
165,Infosys Scholars Program 165,Infosys Foundation,Merit + Need,Undergraduate,75,200000,75000,Uttar Pradesh,2026-09-05,Online/Offline
166,HDFC Scholars Program 166,HDFC Bank,Merit + Need,School,58,500000,75000,Madhya Pradesh,2026-11-03,Online
167,Sitaram Scholars Program 167,Sitaram Jindal Foundation,Category-Based,Postgraduate,87,250000,10000,Gujarat,2026-10-16,Online
168,Reliance Scholars Program 168,Reliance Foundation,Need-Based,Undergraduate,85,300000,75000,Rajasthan,2026-12-19,Online
169,Reliance Scholars Program 169,Reliance Foundation,Merit,Undergraduate,61,800000,200000,Rajasthan,2026-11-14,Online
170,Sitaram Scholars Program 170,Sitaram Jindal Foundation,Merit + Need,Postgraduate,52,300000,75000,Karnataka,2026-06-25,Online
171,Reliance Scholars Program 171,Reliance Foundation,Need-Based,Undergraduate,89,200000,75000,Madhya Pradesh,2026-11-22,Online
172,LIC Scholars Program 172,LIC India,Need-Based,Postgraduate,71,800000,75000,Maharashtra,2026-12-29,Online/Offline
173,Ministry Scholars Program 173,Ministry of Education,Merit + Need,Undergraduate,65,300000,25000,Uttar Pradesh,2026-11-09,Online/Offline
174,Tata Scholars Program 174,Tata Capital,Need-Based,Postgraduate,84,300000,150000,Madhya Pradesh,2026-09-06,Online/Offline
175,Aditya Scholars Program 175,Aditya Birla Group,Category-Based,Undergraduate,79,800000,50000,Tamil Nadu,2026-06-29,Online/Offline
176,Reliance Scholars Program 176,Reliance Foundation,Merit + Need,School,88,800000,50000,Madhya Pradesh,2026-12-29,Online
177,Aditya Scholars Program 177,Aditya Birla Group,Merit + Need,Undergraduate,86,200000,150000,Tamil Nadu,2026-08-19,Online/Offline
178,Sitaram Scholars Program 178,Sitaram Jindal Foundation,Need-Based,PhD,76,250000,100000,Maharashtra,2026-05-19,Online
179,Sitaram Scholars Program 179,Sitaram Jindal Foundation,Merit + Need,Undergraduate,53,300000,150000,Madhya Pradesh,2026-12-24,Online
180,ONGC Scholars Program 180,ONGC Foundation,Need-Based,Undergraduate,87,500000,200000,Rajasthan,2026-07-06,Online
181,Aditya Scholars Program 181,Aditya Birla Group,Need-Based,School,73,300000,50000,Gujarat,2026-12-10,Online
182,Infosys Scholars Program 182,Infosys Foundation,Merit,PhD,85,250000,25000,Delhi,2026-05-21,Online/Offline
183,ONGC Scholars Program 183,ONGC Foundation,Need-Based,School,64,800000,75000,Delhi,2026-06-19,Online
184,Tata Scholars Program 184,Tata Capital,Need-Based,PhD,53,800000,75000,Uttar Pradesh,2026-10-24,Online
185,Reliance Scholars Program 185,Reliance Foundation,Category-Based,School,68,300000,50000,Madhya Pradesh,2026-07-16,Online
186,Infosys Scholars Program 186,Infosys Foundation,Merit + Need,PhD,66,800000,200000,Madhya Pradesh,2026-08-27,Online
187,Sitaram Scholars Program 187,Sitaram Jindal Foundation,Category-Based,PhD,75,800000,75000,Gujarat,2026-07-23,Online/Offline
188,Aditya Scholars Program 188,Aditya Birla Group,Need-Based,School,90,250000,75000,Uttar Pradesh,2026-07-05,Online
189,Infosys Scholars Program 189,Infosys Foundation,Need-Based,PhD,62,200000,100000,Delhi,2026-09-14,Online/Offline
190,HDFC Scholars Program 190,HDFC Bank,Need-Based,Postgraduate,61,500000,150000,Rajasthan,2026-09-07,Online/Offline
191,Bharti Scholars Program 191,Bharti Foundation,Category-Based,Postgraduate,77,800000,25000,Maharashtra,2026-05-29,Online
192,ONGC Scholars Program 192,ONGC Foundation,Need-Based,Postgraduate,60,800000,10000,Karnataka,2026-12-09,Online/Offline
193,Aditya Scholars Program 193,Aditya Birla Group,Category-Based,PhD,52,500000,10000,Maharashtra,2026-09-27,Online/Offline
194,HDFC Scholars Program 194,HDFC Bank,Merit + Need,School,89,200000,50000,Rajasthan,2026-07-13,Online
195,Sitaram Scholars Program 195,Sitaram Jindal Foundation,Merit + Need,Undergraduate,57,300000,100000,Maharashtra,2026-05-30,Online
196,LIC Scholars Program 196,LIC India,Category-Based,Postgraduate,52,300000,25000,Gujarat,2026-06-30,Online
197,Ministry Scholars Program 197,Ministry of Education,Merit,School,82,300000,200000,Madhya Pradesh,2026-05-22,Online
198,Sitaram Scholars Program 198,Sitaram Jindal Foundation,Merit,Undergraduate,57,800000,10000,Tamil Nadu,2026-09-19,Online/Offline
199,Reliance Scholars Program 199,Reliance Foundation,Merit + Need,Postgraduate,85,200000,150000,Rajasthan,2026-11-30,Online
200,Infosys Scholars Program 200,Infosys Foundation,Category-Based,PhD,76,250000,200000,Rajasthan,2026-10-30,Online
201,Ministry Scholars Program 201,Ministry of Education,Merit,Postgraduate,70,800000,10000,Madhya Pradesh,2026-08-27,Online/Offline
202,HDFC Scholars Program 202,HDFC Bank,Need-Based,Postgraduate,60,800000,10000,Gujarat,2026-08-23,Online/Offline
203,ONGC Scholars Program 203,ONGC Foundation,Merit + Need,Postgraduate,52,250000,10000,Madhya Pradesh,2026-08-02,Online
204,LIC Scholars Program 204,LIC India,Merit,School,81,300000,10000,Gujarat,2026-09-23,Online/Offline
205,ONGC Scholars Program 205,ONGC Foundation,Need-Based,Postgraduate,71,500000,75000,Maharashtra,2026-10-02,Online/Offline
206,ONGC Scholars Program 206,ONGC Foundation,Need-Based,Undergraduate,81,200000,100000,Rajasthan,2026-10-21,Online/Offline
207,LIC Scholars Program 207,LIC India,Merit,PhD,73,800000,100000,Uttar Pradesh,2026-12-11,Online/Offline
208,HDFC Scholars Program 208,HDFC Bank,Merit + Need,Postgraduate,66,800000,25000,Karnataka,2026-07-23,Online
209,HDFC Scholars Program 209,HDFC Bank,Merit,School,76,800000,200000,Gujarat,2026-06-12,Online/Offline
210,Aditya Scholars Program 210,Aditya Birla Group,Category-Based,School,60,250000,150000,Delhi,2026-08-09,Online
211,Aditya Scholars Program 211,Aditya Birla Group,Category-Based,Postgraduate,66,300000,200000,Madhya Pradesh,2026-12-01,Online/Offline
212,LIC Scholars Program 212,LIC India,Category-Based,PhD,72,500000,50000,Madhya Pradesh,2026-10-06,Online/Offline
213,ONGC Scholars Program 213,ONGC Foundation,Category-Based,PhD,90,250000,200000,Gujarat,2026-11-18,Online
214,Reliance Scholars Program 214,Reliance Foundation,Merit + Need,PhD,60,250000,10000,Karnataka,2026-09-27,Online/Offline
215,Reliance Scholars Program 215,Reliance Foundation,Merit + Need,PhD,54,300000,100000,Rajasthan,2026-06-28,Online
216,Ministry Scholars Program 216,Ministry of Education,Merit,Undergraduate,73,800000,50000,Delhi,2026-08-17,Online/Offline
217,Sitaram Scholars Program 217,Sitaram Jindal Foundation,Merit + Need,School,61,500000,50000,Madhya Pradesh,2026-10-08,Online
218,Bharti Scholars Program 218,Bharti Foundation,Merit,School,55,500000,150000,Gujarat,2026-05-26,Online
219,Bharti Scholars Program 219,Bharti Foundation,Merit,School,77,200000,75000,Gujarat,2026-06-06,Online
220,HDFC Scholars Program 220,HDFC Bank,Merit,School,51,200000,75000,Gujarat,2026-08-11,Online/Offline
221,HDFC Scholars Program 221,HDFC Bank,Category-Based,PhD,60,300000,50000,Tamil Nadu,2026-05-15,Online/Offline
222,Sitaram Scholars Program 222,Sitaram Jindal Foundation,Category-Based,Undergraduate,86,300000,100000,Karnataka,2026-07-06,Online/Offline
223,ONGC Scholars Program 223,ONGC Foundation,Category-Based,Postgraduate,66,250000,10000,Maharashtra,2026-11-04,Online
224,HDFC Scholars Program 224,HDFC Bank,Merit + Need,PhD,72,500000,50000,Madhya Pradesh,2026-05-30,Online/Offline
